,mes,razon_social,plazo,tasa_pasiva_efectiva,ULTIMA_CALIFICACIÓN
222948,2025-09,ASOCIACION MUTUALISTA DE AHORRO Y CREDITO PARA LA VIVIENDA AMBATO,a. MENOS DE 30 DIAS,1.75363922259002,B+
222949,2025-09,ASOCIACION MUTUALISTA DE AHORRO Y CREDITO PARA LA VIVIENDA AMBATO,b. 30 - 60 DIAS,5.61516982977753,B+
222950,2025-09,ASOCIACION MUTUALISTA DE AHORRO Y CREDITO PARA LA VIVIENDA AMBATO,c. 61 - 90 DIAS,5.94631177696697,B+
222951,2025-09,ASOCIACION MUTUALISTA DE AHORRO Y CREDITO PARA LA VIVIENDA AMBATO,d. 91 - 120 DIAS,6.11443414807919,B+
222952,2025-09,ASOCIACION MUTUALISTA DE AHORRO Y CREDITO PARA LA VIVIENDA AMBATO,e. 121 - 180 DIAS,6.33524760890422,B+
222953,2025-09,ASOCIACION MUTUALISTA DE AHORRO Y CREDITO PARA LA VIVIENDA AMBATO,f. 181 - 360 DIAS,8.19625646820845,B+
222954,2025-09,ASOCIACION MUTUALISTA DE AHORRO Y CREDITO PARA LA VIVIENDA AMBATO,g. MAS DE 360 DIAS,9.65763382565665,B+
222955,2025-09,ASOCIACION MUTUALISTA DE AHORRO Y CREDITO PARA LA VIVIENDA AZUAY,a. MENOS DE 30 DIAS,0.75,AA
222956,2025-09,ASOCIACION MUTUALISTA DE AHORRO Y CREDITO PARA LA VIVIENDA AZUAY,b. 30 - 60 DIAS,4.939443538722488,AA
222957,2025-09,ASOCIACION MUTUALISTA DE AHORRO Y CREDITO PARA LA VIVIENDA AZUAY,c. 61 - 90 DIAS,5.549822801009524,AA
222958,2025-09,ASOCIACION MUTUALISTA DE AHORRO Y CREDITO PARA LA VIVIENDA AZUAY,d. 91 - 120 DIAS,5.671494121032017,AA
222959,2025-09,ASOCIACION MUTUALISTA DE AHORRO Y CREDITO PARA LA VIVIENDA AZUAY,e. 121 - 180 DIAS,5.798735702360271,AA
222960,2025-09,ASOCIACION MUTUALISTA DE AHORRO Y CREDITO PARA LA VIVIENDA AZUAY,f. 181 - 360 DIAS,5.9703489215507455,AA
222961,2025-09,ASOCIACION MUTUALISTA DE AHORRO Y CREDITO PARA LA VIVIENDA AZUAY,g. MAS DE 360 DIAS,6.580204613698879,AA
222962,2025-09,ASOCIACION MUTUALISTA DE AHORRO Y CREDITO PARA LA VIVIENDA IMBABURA,a. MENOS DE 30 DIAS,1.6838295604366,B+
222963,2025-09,ASOCIACION MUTUALISTA DE AHORRO Y CREDITO PARA LA VIVIENDA IMBABURA,b. 30 - 60 DIAS,6.106083081484062,B+
222964,2025-09,ASOCIACION MUTUALISTA DE AHORRO Y CREDITO PARA LA VIVIENDA IMBABURA,c. 61 - 90 DIAS,6.418357483515277,B+
222965,2025-09,ASOCIACION MUTUALISTA DE AHORRO Y CREDITO PARA LA VIVIENDA IMBABURA,d. 91 - 120 DIAS,6.334714651640056,B+
222966,2025-09,ASOCIACION MUTUALISTA DE AHORRO Y CREDITO PARA LA VIVIENDA IMBABURA,e. 121 - 180 DIAS,7.2859611547049035,B+
222967,2025-09,ASOCIACION MUTUALISTA DE AHORRO Y CREDITO PARA LA VIVIENDA IMBABURA,f. 181 - 360 DIAS,7.208494621222023,B+
222968,2025-09,ASOCIACION MUTUALISTA DE AHORRO Y CREDITO PARA LA VIVIENDA IMBABURA,g. MAS DE 360 DIAS,7.641755373626662,B+
222969,2025-09,ASOCIACION MUTUALISTA DE AHORRO Y CREDITO PARA LA VIVIENDA PICHINCHA,a. MENOS DE 30 DIAS,1.472046219552705,AA
222970,2025-09,ASOCIACION MUTUALISTA DE AHORRO Y CREDITO PARA LA VIVIENDA PICHINCHA,b. 30 - 60 DIAS,4.676964386804088,AA
222971,2025-09,ASOCIACION MUTUALISTA DE AHORRO Y CREDITO PARA LA VIVIENDA PICHINCHA,c. 61 - 90 DIAS,5.001132043012031,AA
222972,2025-09,ASOCIACION MUTUALISTA DE AHORRO Y CREDITO PARA LA VIVIENDA PICHINCHA,d. 91 - 120 DIAS,5.260834051261658,AA
222973,2025-09,ASOCIACION MUTUALISTA DE AHORRO Y CREDITO PARA LA VIVIENDA PICHINCHA,e. 121 - 180 DIAS,5.602453981871587,AA
222974,2025-09,ASOCIACION MUTUALISTA DE AHORRO Y CREDITO PARA LA VIVIENDA PICHINCHA,f. 181 - 360 DIAS,5.874515921748277,AA
222975,2025-09,ASOCIACION MUTUALISTA DE AHORRO Y CREDITO PARA LA VIVIENDA PICHINCHA,g. MAS DE 360 DIAS,6.5717672626351495,AA
222976,2025-09,BANCO AMAZONAS S.A.,a. MENOS DE 30 DIAS,0.0829238146397631,AA+
222977,2025-09,BANCO AMAZONAS S.A.,b. 30 - 60 DIAS,3.946957833886587,AA+
222978,2025-09,BANCO AMAZONAS S.A.,c. 61 - 90 DIAS,4.734992268726454,AA+
222979,2025-09,BANCO AMAZONAS S.A.,d. 91 - 120 DIAS,4.950520751241143,AA+
222980,2025-09,BANCO AMAZONAS S.A.,e. 121 - 180 DIAS,5.1824819219780505,AA+
222981,2025-09,BANCO AMAZONAS S.A.,f. 181 - 360 DIAS,5.511212696950355,AA+
222982,2025-09,BANCO AMAZONAS S.A.,g. MAS DE 360 DIAS,5.833948442894508,AA+
222983,2025-09,BANCO ATLÁNTIDA S.A.,a. MENOS DE 30 DIAS,1.67525869287535,AA+
222984,2025-09,BANCO ATLÁNTIDA S.A.,b. 30 - 60 DIAS,4.709791894310703,AA+
222985,2025-09,BANCO ATLÁNTIDA S.A.,c. 61 - 90 DIAS,4.682247645574883,AA+
222986,2025-09,BANCO ATLÁNTIDA S.A.,d. 91 - 120 DIAS,5.0687035849696755,AA+
222987,2025-09,BANCO ATLÁNTIDA S.A.,e. 121 - 180 DIAS,5.56641861078473,AA+
222988,2025-09,BANCO ATLÁNTIDA S.A.,f. 181 - 360 DIAS,5.622854233144442,AA+
222989,2025-09,BANCO ATLÁNTIDA S.A.,g. MAS DE 360 DIAS,6.6577056885703225,AA+
222990,2025-09,BANCO BOLIVARIANO S.A.,a. MENOS DE 30 DIAS,0.7465000428845665,AAA
222991,2025-09,BANCO BOLIVARIANO S.A.,b. 30 - 60 DIAS,4.480492122185205,AAA
222992,2025-09,BANCO BOLIVARIANO S.A.,c. 61 - 90 DIAS,4.431672679377495,AAA
222993,2025-09,BANCO BOLIVARIANO S.A.,d. 91 - 120 DIAS,4.885736128979369,AAA
222994,2025-09,BANCO BOLIVARIANO S.A.,e. 121 - 180 DIAS,4.98755017459796,AAA
222995,2025-09,BANCO BOLIVARIANO S.A.,f. 181 - 360 DIAS,5.165543438445886,AAA
222996,2025-09,BANCO BOLIVARIANO S.A.,g. MAS DE 360 DIAS,5.224053054234242,AAA
222997,2025-09,BANCO CAPITAL S.A.,a. MENOS DE 30 DIAS,1.0,BB+
222998,2025-09,BANCO CAPITAL S.A.,b. 30 - 60 DIAS,4.960150937463587,BB+
222999,2025-09,BANCO CAPITAL S.A.,c. 61 - 90 DIAS,5.422747166697846,BB+
223000,2025-09,BANCO CAPITAL S.A.,d. 91 - 120 DIAS,5.930320615863766,BB+
223001,2025-09,BANCO CAPITAL S.A.,e. 121 - 180 DIAS,6.945989585059124,BB+
223002,2025-09,BANCO CAPITAL S.A.,f. 181 - 360 DIAS,7.600206701225698,BB+
223003,2025-09,BANCO CAPITAL S.A.,g. MAS DE 360 DIAS,8.04171518464171,BB+
223004,2025-09,BANCO COMERCIAL DE MANABÍ S.A.,a. MENOS DE 30 DIAS,0.8,AA
223005,2025-09,BANCO COMERCIAL DE MANABÍ S.A.,b. 30 - 60 DIAS,4.9337217398923325,AA
223006,2025-09,BANCO COMERCIAL DE MANABÍ S.A.,c. 61 - 90 DIAS,5.045887058577954,AA
223007,2025-09,BANCO COMERCIAL DE MANABÍ S.A.,d. 91 - 120 DIAS,5.289600584808789,AA
223008,2025-09,BANCO COMERCIAL DE MANABÍ S.A.,e. 121 - 180 DIAS,5.53775,AA
223009,2025-09,BANCO COMERCIAL DE MANABÍ S.A.,f. 181 - 360 DIAS,5.931729108902476,AA
223010,2025-09,BANCO COMERCIAL DE MANABÍ S.A.,g. MAS DE 360 DIAS,6.381676629927616,AA
223011,2025-09,BANCO COOPNACIONAL S.A.,a. MENOS DE 30 DIAS,0.99,AA+
223012,2025-09,BANCO COOPNACIONAL S.A.,b. 30 - 60 DIAS,3.0400000000000005,AA+
223013,2025-09,BANCO COOPNACIONAL S.A.,c. 61 - 90 DIAS,3.0391991379083203,AA+
223014,2025-09,BANCO COOPNACIONAL S.A.,d. 91 - 120 DIAS,3.5488704881303246,AA+
223015,2025-09,BANCO COOPNACIONAL S.A.,e. 121 - 180 DIAS,3.97835657189765,AA+
223016,2025-09,BANCO COOPNACIONAL S.A.,f. 181 - 360 DIAS,3.997670915725412,AA+
223017,2025-09,BANCO COOPNACIONAL S.A.,g. MAS DE 360 DIAS,4.9999723130314635,AA+
223018,2025-09,BANCO DE DESARROLLO DEL ECUADOR,b. 30 - 60 DIAS,2.0,AAA
223019,2025-09,BANCO DE DESARROLLO DEL ECUADOR,d. 91 - 120 DIAS,2.5,AAA
223020,2025-09,BANCO DE DESARROLLO DEL ECUADOR,f. 181 - 360 DIAS,2.77516129032258,AAA
223021,2025-09,BANCO DE GUAYAQUIL S.A.,a. MENOS DE 30 DIAS,0.922476273768665,AAA-
223022,2025-09,BANCO DE GUAYAQUIL S.A.,b. 30 - 60 DIAS,4.16873161450007,AAA-
223023,2025-09,BANCO DE GUAYAQUIL S.A.,c. 61 - 90 DIAS,4.5138706756920275,AAA-
223024,2025-09,BANCO DE GUAYAQUIL S.A.,d. 91 - 120 DIAS,4.588056212515993,AAA-
223025,2025-09,BANCO DE GUAYAQUIL S.A.,e. 121 - 180 DIAS,4.861963645973758,AAA-
223026,2025-09,BANCO DE GUAYAQUIL S.A.,f. 181 - 360 DIAS,5.098226477469193,AAA-
223027,2025-09,BANCO DE GUAYAQUIL S.A.,g. MAS DE 360 DIAS,5.460726922485144,AAA-
223028,2025-09,BANCO DE LA PRODUCCIÓN PRODUBANCO S.A.,a. MENOS DE 30 DIAS,0.24381495902631276,AAA
223029,2025-09,BANCO DE LA PRODUCCIÓN PRODUBANCO S.A.,b. 30 - 60 DIAS,4.268862316649844,AAA
223030,2025-09,BANCO DE LA PRODUCCIÓN PRODUBANCO S.A.,c. 61 - 90 DIAS,4.410151457762507,AAA
223031,2025-09,BANCO DE LA PRODUCCIÓN PRODUBANCO S.A.,d. 91 - 120 DIAS,4.622791867448765,AAA
223032,2025-09,BANCO DE LA PRODUCCIÓN PRODUBANCO S.A.,e. 121 - 180 DIAS,4.894824004662722,AAA
223033,2025-09,BANCO DE LA PRODUCCIÓN PRODUBANCO S.A.,f. 181 - 360 DIAS,5.140010880597592,AAA
223034,2025-09,BANCO DE LA PRODUCCIÓN PRODUBANCO S.A.,g. MAS DE 360 DIAS,5.48365588740768,AAA
223035,2025-09,BANCO DE LOJA S.A.,a. MENOS DE 30 DIAS,0.02,AAA
223036,2025-09,BANCO DE LOJA S.A.,b. 30 - 60 DIAS,4.327995146175342,AAA
223037,2025-09,BANCO DE LOJA S.A.,c. 61 - 90 DIAS,4.593546087280898,AAA
223038,2025-09,BANCO DE LOJA S.A.,d. 91 - 120 DIAS,4.968651479073459,AAA
223039,2025-09,BANCO DE LOJA S.A.,e. 121 - 180 DIAS,5.337582462812656,AAA
223040,2025-09,BANCO DE LOJA S.A.,f. 181 - 360 DIAS,5.986286007658642,AAA
223041,2025-09,BANCO DE LOJA S.A.,g. MAS DE 360 DIAS,6.37570293010884,AAA
223042,2025-09,BANCO DE MACHALA S.A.,a. MENOS DE 30 DIAS,1.4939883476095916,AAA- 
223043,2025-09,BANCO DE MACHALA S.A.,b. 30 - 60 DIAS,2.880018876880807,AAA- 
223044,2025-09,BANCO DE MACHALA S.A.,c. 61 - 90 DIAS,4.7725400146257515,AAA- 
223045,2025-09,BANCO DE MACHALA S.A.,d. 91 - 120 DIAS,5.027508376382401,AAA- 
223046,2025-09,BANCO DE MACHALA S.A.,e. 121 - 180 DIAS,5.124694078138654,AAA- 
223047,2025-09,BANCO DE MACHALA S.A.,f. 181 - 360 DIAS,5.157030055337032,AAA- 
223048,2025-09,BANCO DE MACHALA S.A.,g. MAS DE 360 DIAS,5.689603686368803,AAA- 
223049,2025-09,BANCO DEL AUSTRO S.A.,a. MENOS DE 30 DIAS,1.3711854983892011, AAA-
223050,2025-09,BANCO DEL AUSTRO S.A.,b. 30 - 60 DIAS,4.229536491299245, AAA-
223051,2025-09,BANCO DEL AUSTRO S.A.,c. 61 - 90 DIAS,4.365641782383226, AAA-
223052,2025-09,BANCO DEL AUSTRO S.A.,d. 91 - 120 DIAS,4.6862490485086115, AAA-
223053,2025-09,BANCO DEL AUSTRO S.A.,e. 121 - 180 DIAS,4.868816004425046, AAA-
223054,2025-09,BANCO DEL AUSTRO S.A.,f. 181 - 360 DIAS,5.333509597583518, AAA-
223055,2025-09,BANCO DEL AUSTRO S.A.,g. MAS DE 360 DIAS,5.752682123467549, AAA-
223056,2025-09,BANCO DEL LITORAL S.A.,a. MENOS DE 30 DIAS,0.5,A
223057,2025-09,BANCO DEL LITORAL S.A.,b. 30 - 60 DIAS,2.63780783714474,A
223058,2025-09,BANCO DEL LITORAL S.A.,d. 91 - 120 DIAS,3.70162142149319,A
223059,2025-09,BANCO DEL LITORAL S.A.,f. 181 - 360 DIAS,3.4818766455345047,A
223060,2025-09,BANCO DEL LITORAL S.A.,g. MAS DE 360 DIAS,5.538379343186221,A
223061,2025-09,BANCO DEL PACÍFICO S.A.,a. MENOS DE 30 DIAS,1.059295172068569,AAA-
223062,2025-09,BANCO DEL PACÍFICO S.A.,b. 30 - 60 DIAS,4.293655626476048,AAA-
223063,2025-09,BANCO DEL PACÍFICO S.A.,c. 61 - 90 DIAS,4.511807829213358,AAA-
223064,2025-09,BANCO DEL PACÍFICO S.A.,d. 91 - 120 DIAS,4.600057207995429,AAA-
223065,2025-09,BANCO DEL PACÍFICO S.A.,e. 121 - 180 DIAS,4.894660454987134,AAA-
223066,2025-09,BANCO DEL PACÍFICO S.A.,f. 181 - 360 DIAS,5.229935963812542,AAA-
223067,2025-09,BANCO DEL PACÍFICO S.A.,g. MAS DE 360 DIAS,5.670081737713817,AAA-
223068,2025-09,BANCO DELBANK S.A.,b. 30 - 60 DIAS,5.669849437513944,A
223069,2025-09,BANCO DELBANK S.A.,c. 61 - 90 DIAS,6.127727272727276,A
223070,2025-09,BANCO DELBANK S.A.,d. 91 - 120 DIAS,6.21754265494856,A
223071,2025-09,BANCO DELBANK S.A.,e. 121 - 180 DIAS,5.9,A
223072,2025-09,BANCO DELBANK S.A.,f. 181 - 360 DIAS,6.265131530771406,A
223073,2025-09,BANCO DELBANK S.A.,g. MAS DE 360 DIAS,6.699492578969344,A
223074,2025-09,BANCO DESARROLLO DE LOS PUEBLOS S.A.,a. MENOS DE 30 DIAS,1.2650000000000001,A
223075,2025-09,BANCO DESARROLLO DE LOS PUEBLOS S.A.,b. 30 - 60 DIAS,2.9953351206233765,A
223076,2025-09,BANCO DESARROLLO DE LOS PUEBLOS S.A.,c. 61 - 90 DIAS,2.73583754345704,A
223077,2025-09,BANCO DESARROLLO DE LOS PUEBLOS S.A.,d. 91 - 120 DIAS,3.3162845701501125,A
223078,2025-09,BANCO DESARROLLO DE LOS PUEBLOS S.A.,e. 121 - 180 DIAS,3.0275,A
223079,2025-09,BANCO DESARROLLO DE LOS PUEBLOS S.A.,f. 181 - 360 DIAS,4.400205682321299,A
223080,2025-09,BANCO DESARROLLO DE LOS PUEBLOS S.A.,g. MAS DE 360 DIAS,4.71407040071933,A
223081,2025-09,BANCO DINERS CLUB DEL ECUADOR S.A.,a. MENOS DE 30 DIAS,2.585747269930075,
223082,2025-09,BANCO DINERS CLUB DEL ECUADOR S.A.,b. 30 - 60 DIAS,4.057353025012616,
223083,2025-09,BANCO DINERS CLUB DEL ECUADOR S.A.,c. 61 - 90 DIAS,5.093651064002584,
223084,2025-09,BANCO DINERS CLUB DEL ECUADOR S.A.,d. 91 - 120 DIAS,5.037812903938742,
223085,2025-09,BANCO DINERS CLUB DEL ECUADOR S.A.,e. 121 - 180 DIAS,5.189601458584427,
223086,2025-09,BANCO DINERS CLUB DEL ECUADOR S.A.,f. 181 - 360 DIAS,5.590742677528899,
223087,2025-09,BANCO DINERS CLUB DEL ECUADOR S.A.,g. MAS DE 360 DIAS,5.916494766071604,
223088,2025-09,BANCO GENERAL RUMIÑAHUI S.A.,a. MENOS DE 30 DIAS,1.5443122571559464,AAA-
223089,2025-09,BANCO GENERAL RUMIÑAHUI S.A.,b. 30 - 60 DIAS,4.655214516964754,AAA-
223090,2025-09,BANCO GENERAL RUMIÑAHUI S.A.,c. 61 - 90 DIAS,4.942378032102734,AAA-
223091,2025-09,BANCO GENERAL RUMIÑAHUI S.A.,d. 91 - 120 DIAS,4.945410814518483,AAA-
223092,2025-09,BANCO GENERAL RUMIÑAHUI S.A.,e. 121 - 180 DIAS,5.355096983742946,AAA-
223093,2025-09,BANCO GENERAL RUMIÑAHUI S.A.,f. 181 - 360 DIAS,5.652076184612342,AAA-
223094,2025-09,BANCO GENERAL RUMIÑAHUI S.A.,g. MAS DE 360 DIAS,5.922419079677385,AAA-
223095,2025-09,BANCO INTERNACIONAL S.A.,a. MENOS DE 30 DIAS,1.1426898770921945,AAA
223096,2025-09,BANCO INTERNACIONAL S.A.,b. 30 - 60 DIAS,4.31342119582114,AAA
223097,2025-09,BANCO INTERNACIONAL S.A.,c. 61 - 90 DIAS,4.3159492101819685,AAA
223098,2025-09,BANCO INTERNACIONAL S.A.,d. 91 - 120 DIAS,4.729509832287923,AAA
223099,2025-09,BANCO INTERNACIONAL S.A.,e. 121 - 180 DIAS,4.885109117835085,AAA
223100,2025-09,BANCO INTERNACIONAL S.A.,f. 181 - 360 DIAS,4.845183946160736,AAA
223101,2025-09,BANCO INTERNACIONAL S.A.,g. MAS DE 360 DIAS,5.421227163550442,AAA
223102,2025-09,BANCO PICHINCHA C.A.,a. MENOS DE 30 DIAS,1.7486194574277851,AAA
223103,2025-09,BANCO PICHINCHA C.A.,b. 30 - 60 DIAS,4.219365984666526,AAA
223104,2025-09,BANCO PICHINCHA C.A.,c. 61 - 90 DIAS,4.515370377127799,AAA
223105,2025-09,BANCO PICHINCHA C.A.,d. 91 - 120 DIAS,4.535947212485929,AAA
223106,2025-09,BANCO PICHINCHA C.A.,e. 121 - 180 DIAS,5.004895181122857,AAA
223107,2025-09,BANCO PICHINCHA C.A.,f. 181 - 360 DIAS,5.2420471537264755,AAA
223108,2025-09,BANCO PICHINCHA C.A.,g. MAS DE 360 DIAS,5.573770309722249,AAA
223109,2025-09,BANCO PROCREDIT S.A.,a. MENOS DE 30 DIAS,1.0502511855846466,AAA-
223110,2025-09,BANCO PROCREDIT S.A.,b. 30 - 60 DIAS,2.7874999999999996,AAA-
223111,2025-09,BANCO PROCREDIT S.A.,c. 61 - 90 DIAS,4.226,AAA-
223112,2025-09,BANCO PROCREDIT S.A.,d. 91 - 120 DIAS,5.24967862784825,AAA-
223113,2025-09,BANCO PROCREDIT S.A.,e. 121 - 180 DIAS,3.03,AAA-
223114,2025-09,BANCO PROCREDIT S.A.,f. 181 - 360 DIAS,5.151881661119348,AAA-
223115,2025-09,BANCO PROCREDIT S.A.,g. MAS DE 360 DIAS,6.435729707287683,AAA-
223116,2025-09,BANCO SOLIDARIO S.A.,a. MENOS DE 30 DIAS,0.877770382445786,AAA-
223117,2025-09,BANCO SOLIDARIO S.A.,b. 30 - 60 DIAS,4.675039856672252,AAA-
223118,2025-09,BANCO SOLIDARIO S.A.,c. 61 - 90 DIAS,4.942961113936696,AAA-
223119,2025-09,BANCO SOLIDARIO S.A.,d. 91 - 120 DIAS,5.110762112123498,AAA-
223120,2025-09,BANCO SOLIDARIO S.A.,e. 121 - 180 DIAS,5.311994044640051,AAA-
223121,2025-09,BANCO SOLIDARIO S.A.,f. 181 - 360 DIAS,5.473958612357779,AAA-
223122,2025-09,BANCO SOLIDARIO S.A.,g. MAS DE 360 DIAS,5.841241988516121,AAA-
223123,2025-09,BANCO VISIONFUND DEL ECUADOR S.A.,a. MENOS DE 30 DIAS,3.07626906096038,
223124,2025-09,BANCO VISIONFUND DEL ECUADOR S.A.,b. 30 - 60 DIAS,4.4505964079891465,
223125,2025-09,BANCO VISIONFUND DEL ECUADOR S.A.,c. 61 - 90 DIAS,4.975331695331695,
223126,2025-09,BANCO VISIONFUND DEL ECUADOR S.A.,d. 91 - 120 DIAS,5.190226672722381,
223127,2025-09,BANCO VISIONFUND DEL ECUADOR S.A.,e. 121 - 180 DIAS,5.8281850513416,
223128,2025-09,BANCO VISIONFUND DEL ECUADOR S.A.,f. 181 - 360 DIAS,6.788606374186699,
223129,2025-09,BANCO VISIONFUND DEL ECUADOR S.A.,g. MAS DE 360 DIAS,8.113315810556921,
223130,2025-09,BANECUADOR,a. MENOS DE 30 DIAS,0.563008127833684,A-
223131,2025-09,BANECUADOR,b. 30 - 60 DIAS,3.604043806315032,A-
223132,2025-09,BANECUADOR,c. 61 - 90 DIAS,4.611073795945876,A-
223133,2025-09,BANECUADOR,d. 91 - 120 DIAS,4.960537790619707,A-
223134,2025-09,BANECUADOR,e. 121 - 180 DIAS,5.381736767138725,A-
223135,2025-09,BANECUADOR,f. 181 - 360 DIAS,5.63189605820103,A-
223136,2025-09,BANECUADOR,g. MAS DE 360 DIAS,6.02564417256008,A-
223137,2025-09,CITIBANK N.A. SUCURSAL ECUADOR,a. MENOS DE 30 DIAS,0.256063542680085,AAA
223138,2025-09,COOPERATIVA DE AHORRO Y CREDITO 1 DE JULIO,a. MENOS DE 30 DIAS,0.191901529879861,
223139,2025-09,COOPERATIVA DE AHORRO Y CREDITO 1 DE JULIO,b. 30 - 60 DIAS,5.39718145460468,
223140,2025-09,COOPERATIVA DE AHORRO Y CREDITO 1 DE JULIO,c. 61 - 90 DIAS,6.15,
223141,2025-09,COOPERATIVA DE AHORRO Y CREDITO 1 DE JULIO,d. 91 - 120 DIAS,11.0768099543495,
223142,2025-09,COOPERATIVA DE AHORRO Y CREDITO 1 DE JULIO,e. 121 - 180 DIAS,8.74,
223143,2025-09,COOPERATIVA DE AHORRO Y CREDITO 1 DE JULIO,f. 181 - 360 DIAS,9.51013390638992,
